Id,ele,slope,spi,tri,twi,plc,prc,CS_perc,litho_13,litho_14,litho_15,litho_16,litho_18,litho_19,litho_22,litho_23,litho_24,litho_25,uso_1,uso_2,uso_3,uso_4,uso_5,uso_6,asp_N,asp_NE,asp_E,asp_SE,asp_S,asp_SW,asp_W,asp_NW
10448,315.3260498,23.02115822,666.1121216,2.688410521,5.481471062,-0.000585301,0.000844708,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2090,341.5871277,28.85285187,391.8313904,3.486000061,6.823027611,-0.003082959,0.000846522,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10580,256.3797913,20.27349663,9464.541016,2.339681387,5.333147526,0.004942284,0.000846784,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
10354,198.4197388,9.810952187,121.9769135,1.098614454,6.603733063,0.005920424,0.000847903,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1880,279.9787598,28.26292801,-10.26573086,3.401240587,13.71014977,0.000650945,0.000848753,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
10026,279.4216614,15.89002991,147.2843323,1.800993562,8.376858711,-0.004185146,0.000855786,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1741,311.5698547,22.52449226,295.2087097,2.625725746,6.741533756,0.003255545,0.000859266,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
461,239.3955841,33.2221756,-2917.852783,4.144196033,13.4588356,-0.002991863,0.000860932,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
10280,296.9107361,19.17928886,171.1132507,2.200953007,7.286890507,-0.002508464,0.000870014,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1510,211.0720978,23.76982689,-3318.648926,2.788792133,13.4588356,0.000117443,0.000872973,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
454,287.1294861,25.40864944,141.5646973,3.006320238,7.476459503,0.000171069,0.000878651,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
